Content,Answer_1,Answer_2,Answer_3,Answer_4,Correct_Answer
What is the capital of France?,Paris,Berlin,London,Madrid,Answer_1
"Who wrote the play ""Hamlet""?",William Shakespeare,Oscar Wilde,Jane Austen,Mark Twain,Answer_1
What is the chemical symbol for water?,W,Wt,Wa,H2O,Answer_4
"Which planet is known as the ""Red Planet""?",Jupiter,Mars,Saturn,Neptune,Answer_2
What is the largest mammal in the world?,Elephant,Blue Whale,Lion,Giraffe,Answer_2
In which year did World War II end?,1945,1918,1939,1955,Answer_1
What is the primary language spoken in Brazil?,Portuguese,Spanish,French,English,Answer_1
Which instrument does a drummer play?,Trumpet,Piano,Violin,Drum Kit,Answer_4
What is the chemical symbol for oxygen?,O2,Ox,O,Oxy,Answer_3
"Who is the author of the ""Harry Potter"" series?",J.K. Rowling,Stephen King,George R.R. Martin,Harper Lee,Answer_1
How many continents are there on Earth?,5,6,7,8,Answer_3
What is the largest planet in our solar system?,Jupiter,Saturn,Earth,Neptune,Answer_1
Which country is known as the Land of the Rising Sun?,Japan,China,India,South Korea,Answer_1
What is the chemical symbol for gold?,Au,Go,G,Ag,Answer_1
"Who wrote the famous play ""Romeo and Juliet""?",Mark Twain,William Shakespeare,Oscar Wilde,Jane Austen,Answer_2
What is the square root of 144?,11,13,12,10,Answer_3
"Which animal is known as the ""King of the Jungle""?",Elephant,Tiger,Lion,Gorilla,Answer_3
In which city is the famous Taj Mahal located?,Mumbai,New Delhi,Agra,Jaipur,Answer_3
What is the chemical symbol for helium?,He,Hl,Hee,Hy,Answer_1
Who painted the Mona Lisa?,Vincent van Gogh,Leonardo da Vinci,Pablo Picasso,Michelangelo,Answer_2
How many sides does a triangle have?,2,4,3,5,Answer_3
What is the largest ocean on Earth?,Indian Ocean,Arctic Ocean,Atlantic Ocean,Pacific Ocean,Answer_4
Which city is famous for the Eiffel Tower?,London,Paris,Berlin,Rome,Answer_2
What is the chemical symbol for carbon?,Co,C,Ca,Cr,Answer_2
Who is known as the father of gravity?,Galileo Galilei,Isaac Newton,Albert Einstein,Nicolaus Copernicus,Answer_2
"Which planet is known as the ""Blue Planet""?",Jupiter,Venus,Earth,Uranus,Answer_3
What is the capital of Japan?,Beijing,Tokyo,Seoul,Bangkok,Answer_2
"Who wrote the famous novel ""Pride and Prejudice""?",Mark Twain,Jane Austen,George Orwell,Charles Dickens,Answer_2
What is the chemical symbol for silver?,S,Si,Ag,Se,Answer_3
Which instrument does a guitarist play?,Trumpet,Guitar,Piano,Violin,Answer_2
What is the chemical symbol for nitrogen?,Ni,N,Na,Ne,Answer_2
Who is the creator of the theory of relativity?,Isaac Newton,Albert Einstein,Galileo Galilei,Stephen Hawking,Answer_2
How many bones are there in the adult human body?,200,206,198,215,Answer_2
What is the largest bird in the world?,Ostrich,Hummingbird,Eagle,Penguin,Answer_1
In which country did the Olympic Games originate?,Greece,Egypt,China,Rome,Answer_1
What is the chemical symbol for iron?,Ir,In,Fe,Fi,Answer_3
"Who wrote the famous play ""Macbeth""?",Oscar Wilde,Mark Twain,William Shakespeare,Jane Austen,Answer_3
What is the square root of 169?,15,13,14,17,Answer_4
"Which animal is known as the ""Ship of the Desert""?",Horse,Camel,Elephant,Giraffe,Answer_2
In which city is the famous Colosseum located?,Paris,Rome,Athens,Cairo,Answer_2
What is the chemical symbol for potassium?,Po,Pt,K,Ka,Answer_3
Who was the first person to step on the moon?,Neil Armstrong,Buzz Aldrin,Yuri Gagarin,John Glenn,Answer_1
How many colors are there in a rainbow?,6,8,7,5,Answer_3
What is the largest continent on Earth?,Africa,Asia,Europe,North America,Answer_2
Which city is known as the Windy City?,Chicago,New York,Los Angeles,Boston,Answer_1
What is the chemical symbol for copper?,Cu,Co,Cp,Ca,Answer_1
